name,dex_number,name_fr
Vaporeon,134,Aquali
Jolteon,135,Voltali
Flareon,136,Pyroli
Porygon,137,Porygon
Omanyte,138,Amonita
Omastar,139,Amonistar
Kabuto,140,Kabuto
Kabutops,141,Kabutops
Aerodactyl,142,Ptéra
Snorlax,143,Ronflex
Articuno,144,Artikodin
Zapdos,145,Électhor
Moltres,146,Sulfura
Dratini,147,Minidraco
Dragonair,148,Draco
Dragonite,149,Dracolosse
Mewtwo,150,Mewtwo
Mew,151,Mew
Chikorita,152,Germignon
Bayleef,153,Macronium
Meganium,154,Méganium
Cyndaquil,155,Héricendre
Quilava,156,Feurisson
Typhlosion,157,Typhlosion
Totodile,158,Kaiminus
Croconaw,159,Crocrodil
Feraligatr,160,Aligatueur
Sentret,161,Fouinette
Furret,162,Fouinar
Hoothoot,163,Hoothoot
Noctowl,164,Noarfang
Ledyba,165,Coxy
Ledian,166,Coxyclaque
Spinarak,167,Mimigal
Ariados,168,Migalos
Crobat,169,Nostenfer
Chinchou,170,Loupio
Lanturn,171,Lanturn
Pichu,172,Pichu
Cleffa,173,Mélo
Igglybuff,174,Toudoudou
Togepi,175,Togepi
Togetic,176,Togetic
Natu,177,Natu
Xatu,178,Xatu
Mareep,179,Wattouat
Flaaffy,180,Lainergie
Ampharos,181,Pharamp
Bellossom,182,Joliflor
Marill,183,Marill
Azumarill,184,Azumarill
Sudowoodo,185,Simularbre
Politoed,186,Tarpaud
Hoppip,187,Granivol
Skiploom,188,Floravol
Jumpluff,189,Cotovol
Aipom,190,Capumain
Sunkern,191,Tournegrin
Sunflora,192,Héliatronc
Yanma,193,Yanma
Wooper,194,Axoloto
Quagsire,195,Maraiste
Espeon,196,Mentali
Umbreon,197,Noctali
Murkrow,198,Cornèbre
Slowking,199,Roigada
Misdreavus,200,Feuforêve
Unown,201,Zarbi
Wobbuffet,202,Qulbutoké
Girafarig,203,Girafarig
Pineco,204,Pomdepik
Forretress,205,Foretress
Dunsparce,206,Insolourdo
Gligar,207,Scorplane
Steelix,208,Steelix
Snubbull,209,Snubbull
Granbull,210,Granbull
Qwilfish,211,Qwilfish
Scizor,212,Cizayox
Shuckle,213,Caratroc
Heracross,214,Scarhino
Sneasel,215,Farfuret
Teddiursa,216,Teddiursa
Ursaring,217,Ursaring
Slugma,218,Limagma
Magcargo,219,Volcaropod
Swinub,220,Marcacrin
Piloswine,221,Cochignon
Corsola,222,Corayon
Remoraid,223,Rémoraid
Octillery,224,Octillery
Delibird,225,Cadoizo
Mantine,226,Démanta
Skarmory,227,Airmure
Houndour,228,Malosse
Houndoom,229,Démolosse
Kingdra,230,Hyporoi
Phanpy,231,Phanpy
Donphan,232,Donphan
Porygon2,233,Porygon2
Stantler,234,Cerfrousse
Smeargle,235,Queulorior
Tyrogue,236,Debugant
Hitmontop,237,Kapoera
Smoochum,238,Lippouti
Elekid,239,Élekid
Magby,240,Magby
Miltank,241,Écrémeuh
Blissey,242,Leuphorie
Raikou,243,Raikou
Entei,244,Entei
Suicune,245,Suicune
Larvitar,246,Embrylex
Pupitar,247,Ymphect
Tyranitar,248,Tyranocif
Lugia,249,Lugia
Ho-Oh,250,Ho-Oh
Celebi,251,Celebi
Treecko,252,Arcko
Grovyle,253,Massko
Sceptile,254,Jungko
Torchic,255,Poussifeu
Combusken,256,Galifeu
Blaziken,257,Braségali
Mudkip,258,Gobou
Marshtomp,259,Flobio
Swampert,260,Laggron
Poochyena,261,Medhyèna
Mightyena,262,Grahyèna
Zigzagoon,263,Zigzaton
Linoone,264,Linéon
Wurmple,265,Chenipotte
Silcoon,266,Armulys
Beautifly,267,Charmillon
Cascoon,268,Blindalys
Dustox,269,Papinox
Lotad,270,Nénupiot
Lombre,271,Lombre
Ludicolo,272,Ludicolo
Seedot,273,Grainipiot
Nuzleaf,274,Pifeuil
Shiftry,275,Tengalice
Taillow,276,Nirondelle
Swellow,277,Hélédelle
Wingull,278,Goélise
Pelipper,279,Bekipan
Ralts,280,Tarsal
Kirlia,281,Kirlia
Gardevoir,282,Gardevoir
Surskit,283,Arakdo
Masquerain,284,Maskadra
Shroomish,285,Balignon
Breloom,286,Chapignon
Slakoth,287,Parecool
Vigoroth,288,Vigoroth
Slaking,289,Monaflèmit
Nincada,290,Ningale
Ninjask,291,Ninjask
Shedinja,292,Munja
Whismur,293,Chuchmur
Loudred,294,Ramboum
Exploud,295,Brouhabam
Makuhita,296,Makuhita
Hariyama,297,Hariyama
Azurill,298,Azurill
Nosepass,299,Tarinor
Skitty,300,Skitty
Delcatty,301,Delcatty
Sableye,302,Ténéfix
Mawile,303,Mysdibule
Aron,304,Galekid
Lairon,305,Galegon
Aggron,306,Galeking
Meditite,307,Méditikka
Medicham,308,Charmina
Electrike,309,Dynavolt
Manectric,310,Élecsprint
Plusle,311,Posipi
Minun,312,Négapi
Volbeat,313,Muciole
Illumise,314,Lumivole
Roselia,315,Rosélia
Gulpin,316,Gloupti
Swalot,317,Avaltout
Carvanha,318,Carvanha
Sharpedo,319,Sharpedo
Wailmer,320,Wailmer
Wailord,321,Wailord
Numel,322,Chamallot
Camerupt,323,Camérupt
Torkoal,324,Chartor
Spoink,325,Spoink
Grumpig,326,Groret
Spinda,327,Spinda
Trapinch,328,Kraknoix
Vibrava,329,Vibraninf
Flygon,330,Libégon
Cacnea,331,Cacnea
Cacturne,332,Cacturne
Swablu,333,Tylton
Altaria,334,Altaria
Zangoose,335,Mangriff
Seviper,336,Séviper
Lunatone,337,Séléroc
Solrock,338,Solaroc
Barboach,339,Barloche
Whiscash,340,Barbicha
Corphish,341,Écrapince
Crawdaunt,342,Colhomard
Baltoy,343,Balbuto
Claydol,344,Kaorine
Lileep,345,Lilia
Cradily,346,Vacilys
Anorith,347,Anorith
Armaldo,348,Armaldo
Feebas,349,Barpau
Milotic,350,Milobellus
Castform,351,Morphéo
Kecleon,352,Kecleon
Shuppet,353,Polichombr
Banette,354,Branette
Duskull,355,Skelénox
Dusclops,356,Téraclope
Tropius,357,Tropius
Chimecho,358,Éoko
Absol,359,Absol
Wynaut,360,Okéoké
Snorunt,361,Stalgamin
Glalie,362,Oniglali
Spheal,363,Obalie
Sealeo,364,Phogleur
Walrein,365,Kaimorse
Clamperl,366,Coquiperl
Huntail,367,Serpang
Gorebyss,368,Rosabyss
Relicanth,369,Relicanth
Luvdisc,370,Lovdisc
Bagon,371,Draby
Shelgon,372,Drackhaus
Salamence,373,Drattak
Beldum,374,Terhal
Metang,375,Métang
Metagross,376,Métalosse
Regirock,377,Regirock
Regice,378,Regice
Registeel,379,Registeel
Latias,380,Latias
Latios,381,Latios
Kyogre,382,Kyogre
Groudon,383,Groudon
Rayquaza,384,Rayquaza
Jirachi,385,Jirachi
Deoxys,386,Deoxys
Turtwig,387,Tortipouss
Grotle,388,Boskara
Torterra,389,Torterra
Chimchar,390,Ouisticram
Monferno,391,Chimpenfeu
Infernape,392,Simiabraz
Piplup,393,Tiplouf
Prinplup,394,Prinplouf
Empoleon,395,Pingoléon
Starly,396,Étourmi
Staravia,397,Étourvol
Staraptor,398,Étouraptor
Bidoof,399,Keunotor
Bibarel,400,Castorno
Kricketot,401,Crikzik
Kricketune,402,Mélokrik
Shinx,403,Lixy
Luxio,404,Luxio
Luxray,405,Luxray
Budew,406,Rozbouton
Roserade,407,Roserade
Cranidos,408,Kranidos
Rampardos,409,Charkos
Shieldon,410,Dinoclier
Bastiodon,411,Bastiodon
Burmy,412,Cheniti
Wormadam,413,Cheniselle
Mothim,414,Papilord
Combee,415,Apitrini
Vespiquen,416,Apireine
Pachirisu,417,Pachirisu
Buizel,418,Mustébouée
Floatzel,419,Mustéflott
Cherubi,420,Ceribou
Cherrim,421,Ceriflor
Shellos,422,Sancoki
Gastrodon,423,Tritosor
Ambipom,424,Capidextre
Drifloon,425,Baudrive
Drifblim,426,Grodrive
Buneary,427,Laporeille
Lopunny,428,Lockpin
Mismagius,429,Magirêve
Honchkrow,430,Corboss
Glameow,431,Chaglam
Purugly,432,Chaffreux
Chingling,433,Korillon
Stunky,434,Moufouette
Skuntank,435,Moufflair
Bronzor,436,Archéomire
Bronzong,437,Archéodong
Bonsly,438,Manzaï
"Mime Jr.",439,"Mime Jr."
Happiny,440,Ptiravi
Chatot,441,Pijako
Spiritomb,442,Spiritomb
Gible,443,Griknot
Gabite,444,Carmache
Garchomp,445,Carchacrok
Munchlax,446,Goinfrex
Riolu,447,Riolu
Lucario,448,Lucario
Hippopotas,449,Hippopotas
Hippowdon,450,Hippodocus
Skorupi,451,Rapion
Drapion,452,Drascore
Croagunk,453,Cradopaud
Toxicroak,454,Coatox
Carnivine,455,Vortente
Finneon,456,Écayon
Lumineon,457,Luminéon
Mantyke,458,Babimanta
Snover,459,Blizzi
Abomasnow,460,Blizzaroi
Weavile,461,Dimoret
Magnezone,462,Magnézone
Lickilicky,463,Coudlangue
Rhyperior,464,Rhinastoc
Tangrowth,465,Bouldeneu
Electivire,466,Élekable
Magmortar,467,Maganon
Togekiss,468,Togekiss
Yanmega,469,Yanmega
Leafeon,470,Phyllali
Glaceon,471,Givrali
Gliscor,472,Scorvol
Mamoswine,473,Mammochon
Porygon-Z,474,Porygon-Z
Gallade,475,Gallame
Probopass,476,Tarinorme
Dusknoir,477,Noctunoir
Froslass,478,Momartik
Rotom,479,Motisma
Uxie,480,Créhelf
Mesprit,481,Créfollet
Azelf,482,Créfadet
Dialga,483,Dialga
Palkia,484,Palkia
Heatran,485,Heatran
Regigigas,486,Regigigas
Giratina,487,Giratina
Cresselia,488,Cresselia
Phione,489,Phione
Manaphy,490,Manaphy
Darkrai,491,Darkrai
Shaymin,492,Shaymin
Arceus,493,Arceus
Victini,494,Victini
Snivy,495,Vipélierre
Servine,496,Lianaja
Serperior,497,Majaspic
Tepig,498,Gruikui
Pignite,499,Grotichon
Emboar,500,Roitiflam
Oshawott,501,Moustillon
Dewott,502,Mateloutre
Samurott,503,Clamiral
Patrat,504,Ratentif
Watchog,505,Miradar
Lillipup,506,Ponchiot
Herdier,507,Ponchien
Stoutland,508,Mastouffe
Purrloin,509,Chacripan
Liepard,510,Léopardus
Pansage,511,Feuillajou
Simisage,512,Feuiloutan
Pansear,513,Flamajou
Simisear,514,Flamoutan
Panpour,515,Flotajou
Simipour,516,Flotoutan
Munna,517,Munna
Musharna,518,Mushana
Pidove,519,Poichigeon
Tranquill,520,Colombeau
Unfezant,521,Déflaisan
Blitzle,522,Zébibron
Zebstrika,523,Zéblitz
Roggenrola,524,Nodulithe
Boldore,525,Géolithe
Gigalith,526,Gigalithe
Woobat,527,Chovsourir
Swoobat,528,Rhinolove
Drilbur,529,Rototaupe
Excadrill,530,Minotaupe
Audino,531,Nanméouïe
Timburr,532,Charpenti
Gurdurr,533,Ouvrifier
Conkeldurr,534,Bétochef
Tympole,535,Tritonde
Palpitoad,536,Batracné
Seismitoad,537,Crapustule
Throh,538,Judokrak
Sawk,539,Karaclée
Sewaddle,540,Larveyette
Swadloon,541,Couverdure
Leavanny,542,Manternel
Venipede,543,Venipatte
Whirlipede,544,Scobolide
Scolipede,545,Brutapode
Cottonee,546,Doudouvet
Whimsicott,547,Farfaduvet
Petilil,548,Chlorobule
Lilligant,549,Fragilady
Basculin,550,Bargantua
Sandile,551,Mascaïman
Krokorok,552,Escroco
Krookodile,553,Crocorible
Darumaka,554,Darumarond
Darmanitan,555,Darumacho
Maractus,556,Maracachi
Dwebble,557,Crabicoque
Crustle,558,Crabaraque
Scraggy,559,Baggiguane
Scrafty,560,Baggaïd
Sigilyph,561,Cryptéro
Yamask,562,Tutafeh
Cofagrigus,563,Tutankafer
Tirtouga,564,Carapagos
Carracosta,565,Mégapagos
Archen,566,Arkéapti
Archeops,567,Aéroptéryx
Trubbish,568,Miamiasme
Garbodor,569,Miasmax
Zorua,570,Zorua
Zoroark,571,Zoroark
Minccino,572,Chinchidou
Cinccino,573,Pashmilla
Gothita,574,Scrutella
Gothorita,575,Mesmérella
Gothitelle,576,Sidérella
Solosis,577,Nucléos
Duosion,578,Méios
Reuniclus,579,Symbios
Ducklett,580,Couaneton
Swanna,581,Lakmécygne
Vanillite,582,Sorbébé
Vanillish,583,Sorboul
Vanilluxe,584,Sorbouboul
Deerling,585,Vivaldaim
Sawsbuck,586,Haydaim
Emolga,587,Emolga
Karrablast,588,Carabing
Escavalier,589,Lançargot
Foongus,590,Trompignon
Amoonguss,591,Gaulet
Frillish,592,Viskuse
Jellicent,593,Moyade
Alomomola,594,Mamanbo
Joltik,595,Statitik
Galvantula,596,Mygavolt
Ferroseed,597,Grindur
Ferrothorn,598,Noacier
Klink,599,Tic
Klang,600,Clic
Klinklang,601,Cliticlic
Tynamo,602,Anchwatt
Eelektrik,603,Lampéroie
Eelektross,604,Ohmassacre
Elgyem,605,Lewsor
Beheeyem,606,Neitram
Litwick,607,Funécire
Lampent,608,Mélancolux
Chandelure,609,Lugulabre
Axew,610,Coupenotte
Fraxure,611,Incisache
Haxorus,612,Tranchodon
Cubchoo,613,Polarhume
Beartic,614,Polagriffe
Cryogonal,615,Hexagel
Shelmet,616,Escargaume
Accelgor,617,Limaspeed
Stunfisk,618,Limonde
Mienfoo,619,Kungfouine
Mienshao,620,Shaofouine
Druddigon,621,Drakkarmin
Golett,622,Gringolem
Golurk,623,Golemastoc
Pawniard,624,Scalpion
Bisharp,625,Scalproie
Bouffalant,626,Frison
Rufflet,627,Furaiglon
Braviary,628,Gueriaigle
Vullaby,629,Vostourno
Mandibuzz,630,Vaututrice
Heatmor,631,Aflamanoir
Durant,632,Fermite
Deino,633,Solochi
Zweilous,634,Diamat
Hydreigon,635,Trioxhydre
Larvesta,636,Pyronille
Volcarona,637,Pyrax
Cobalion,638,Cobaltium
Terrakion,639,Terrakium
Virizion,640,Viridium
Tornadus,641,Boréas
Thundurus,642,Fulguris
Reshiram,643,Reshiram
Zekrom,644,Zekrom
Landorus,645,Démétéros
Kyurem,646,Kyurem
Keldeo,647,Keldeo
Meloetta,648,Meloetta
Genesect,649,Genesect
Chespin,650,Marisson
Quilladin,651,Boguérisse
Chesnaught,652,Blindépique
Fennekin,653,Feunnec
Braixen,654,Roussil
Delphox,655,Goupelin
Froakie,656,Grenousse
Frogadier,657,Croâporal
Greninja,658,Amphinobi
Bunnelby,659,Sapereau
Diggersby,660,Excavarenne
Fletchling,661,Passerouge
Fletchinder,662,Braisillon
Talonflame,663,Flambusard
Scatterbug,664,Lépidonille
Spewpa,665,Pérégrain
Vivillon,666,Prismillon
Litleo,667,Hélionceau
Pyroar,668,Némélios
Flabébé,669,Flabébé
Floette,670,Floette
Florges,671,Florges
Skiddo,672,Cabriolaine
Gogoat,673,Chevroum
Pancham,674,Pandespiègle
Pangoro,675,Pandarbare
Furfrou,676,Couafarel
Espurr,677,Psystigri
Meowstic,678,Mistigrix
Honedge,679,Monorpale
Doublade,680,Dimoclès
Aegislash,681,Exagide
Spritzee,682,Fluvetin
Aromatisse,683,Cocotine
Swirlix,684,Sucroquin
Slurpuff,685,Cupcanaille
Inkay,686,Sepiatop
Malamar,687,Sepiatroce
Binacle,688,Opermine
Barbaracle,689,Golgopathe
Skrelp,690,Venalgue
Dragalge,691,Kravarech
Clauncher,692,Flingouste
Clawitzer,693,Gamblast
Helioptile,694,Galvaran
Heliolisk,695,Iguolta
Tyrunt,696,Ptyranidur
Tyrantrum,697,Rexillius
Amaura,698,Amagara
Aurorus,699,Dragmara
Sylveon,700,Nymphali
Hawlucha,701,Brutalibré
Dedenne,702,Dedenne
Carbink,703,Strassie
Goomy,704,Mucuscule
Sliggoo,705,Colimucus
Goodra,706,Muplodocus
Klefki,707,Trousselin
Phantump,708,Brocélôme
Trevenant,709,Desséliande
Pumpkaboo,710,Pitrouille
Gourgeist,711,Banshitrouye
Bergmite,712,Grelaçon
Avalugg,713,Séracrawl
Noibat,714,Sonistrelle
Noivern,715,Bruyverne
Xerneas,716,Xerneas
Yveltal,717,Yveltal
Zygarde,718,Zygarde
Diancie,719,Diancie
Hoopa,720,Hoopa
Volcanion,721,Volcanion
Rowlet,722,Brindibou
Dartrix,723,Efflèche
Decidueye,724,Archéduc
Litten,725,Flamiaou
Torracat,726,Matoufeu
Incineroar,727,Félinferno
Popplio,728,Otaquin
Brionne,729,Otarlette
Primarina,730,Oratoria
Pikipek,731,Picassaut
Trumbeak,732,Piclairon
Toucannon,733,Bazoucan
Yungoos,734,Manglouton
Gumshoos,735,Argouste
Grubbin,736,Larvibule
Charjabug,737,Chrysapile
Vikavolt,738,Lucanon
Crabrawler,739,Crabagarre
Crabominable,740,Crabominable
Oricorio,741,Plumeline
Cutiefly,742,Bombydou
Ribombee,743,Rubombelle
Rockruff,744,Rocabot
Lycanroc,745,Lougaroc
Wishiwashi,746,Froussardine
Mareanie,747,Vorastérie
Toxapex,748,Prédastérie
Mudbray,749,Tiboudet
Mudsdale,750,Bourrinos
Dewpider,751,Araqua
Araquanid,752,Tarenbulle
Fomantis,753,Mimantis
Lurantis,754,Floramantis
Morelull,755,Spododo
Shiinotic,756,Lampignon
Salandit,757,Tritox
Salazzle,758,Malamandre
Stufful,759,Nounourson
Bewear,760,Chelours
Bounsweet,761,Croquine
Steenee,762,Candine
Tsareena,763,Sucreine
Comfey,764,Guérilande
Oranguru,765,Gouroutan
Passimian,766,Quartermac
Wimpod,767,Sovkipou
Golisopod,768,Sarmuraï
Sandygast,769,Bacabouh
Palossand,770,Trépassable
Pyukumuku,771,Concombaffe
"Type: Null",772,Type:0
Silvally,773,Silvallié
Minior,774,Météno
Komala,775,Dodoala
Turtonator,776,Boumata
Togedemaru,777,Togedemaru
Mimikyu,778,Mimiqui
Bruxish,779,Denticrisse
Drampa,780,Draïeul
Dhelmise,781,Sinistrail
Jangmo-o,782,Bébécaille
Hakamo-o,783,Écaïd
Kommo-o,784,Ékaïser
"Tapu Koko",785,Tokorico
"Tapu Lele",786,Tokopiyon
"Tapu Bulu",787,Tokotoro
"Tapu Fini",788,Tokopisco
Cosmog,789,Cosmog
Cosmoem,790,Cosmovum
Solgaleo,791,Solgaleo
Lunala,792,Lunala
Nihilego,793,Zéroïd
Buzzwole,794,Mouscoto
Pheromosa,795,Cancrelove
Xurkitree,796,Câblifère
Celesteela,797,Bamboiselle
Kartana,798,Katagami
Guzzlord,799,Engloutyran
Necrozma,800,Necrozma
Magearna,801,Magearna
Marshadow,802,Marshadow
Poipole,803,Vémini
Naganadel,804,Mandrillon
Stakataka,805,Ama-Ama
Blacephalon,806,Pierroteknik
Zeraora,807,Zeraora
Meltan,808,Meltan
Melmetal,809,Melmetal
Grookey,810,Ouistempo
Thwackey,811,Badabouin
Rillaboom,812,Gorythmic
Scorbunny,813,Flambino
Raboot,814,Lapyro
Cinderace,815,Pyrobut
Sobble,816,Larméléon
Drizzile,817,Arrozard
Inteleon,818,Lézargus
Skwovet,819,Rongourmand
Greedent,820,Rongrigou
Rookidee,821,Minisange
Corvisquire,822,Bleuseille
Corviknight,823,Corvaillus
Blipbug,824,Larvadar
Dottler,825,Coléodôme
Orbeetle,826,Astronelle
Nickit,827,Goupilou
Thievul,828,Roublenard
Gossifleur,829,Tournicoton
Eldegoss,830,Blancoton
Wooloo,831,Moumouton
Dubwool,832,Moumouflon
Chewtle,833,Khélocrok
Drednaw,834,Torgamord
Yamper,835,Voltoutou
Boltund,836,Fulgudog
Rolycoly,837,Charbi
Carkol,838,Wagomine
Coalossal,839,Monthracite
Applin,840,Verpom
Flapple,841,Pomdrapi
Appletun,842,Dratatin
Silicobra,843,Dunaja
Sandaconda,844,Dunaconda
Cramorant,845,Nigosier
Arrokuda,846,Embrochet
Barraskewda,847,Hastacuda
Toxel,848,Toxizap
Toxtricity,849,Salarsen
Sizzlipede,850,Grillepattes
Centiskorch,851,Scolocendre
Clobbopus,852,Poulpaf
Grapploct,853,Krakos
Sinistea,854,Théffroi
Polteageist,855,Polthégeist
Hatenna,856,Bibichut
Hattrem,857,Chapotus
Hatterene,858,Sorcilence
Impidimp,859,Grimalin
Morgrem,860,Fourbelin
Grimmsnarl,861,Angoliath
Obstagoon,862,Ixon
Perrserker,863,Berserkatt
Cursola,864,Corayôme
Sirfetch'd,865,Palarticho
"Mr. Rime",866,"M. Glaquette"
Runerigus,867,Tutétékri
Milcery,868,Crèmy
Alcremie,869,Charmilly
Falinks,870,Hexadron
Pincurchin,871,Wattapik
Snom,872,Frissonille
Frosmoth,873,Beldeneige
Stonjourner,874,Dolman
Eiscue,875,Bekaglaçon
Indeedee,876,Wimessir
Morpeko,877,Morpeko
Cufant,878,Charibari
Copperajah,879,Pachyradjah
Dracozolt,880,Galvagon
Arctozolt,881,Galvagla
Dracovish,882,Hydragon
Arctovish,883,Hydragla
Duraludon,884,Duralugon
Dreepy,885,Fantyrm
Drakloak,886,Dispareptil
Dragapult,887,Lanssorien
Zacian,888,Zacian
Zamazenta,889,Zamazenta
Eternatus,890,Éthernatos
Kubfu,891,Wushours
Urshifu,892,Shifours
Zarude,893,Zarude
Regieleki,894,Regieleki
Regidrago,895,Regidrago
Glastrier,896,Blizzeval
Spectrier,897,Spectreval
Calyrex,898,Sylveroy
Wyrdeer,899,Cerbyllin
Kleavor,900,Hachécateur
Ursaluna,901,Ursaking
Basculegion,902,Paragruel
Sneasler,903,Farfurex
Overqwil,904,Qwilpik
Enamorus,905,Amovénus
Sprigatito,906,Poussacha
Floragato,907,Matourgeon
Meowscarada,908,Miascarade
Fuecoco,909,Chochodile
Crocalor,910,Crocogril
Skeledirge,911,Flâmigator
Quaxly,912,Coiffeton
Quaxwell,913,Canarbello
Quaquaval,914,Palmaval
Lechonk,915,Gourmelet
Oinkologne,916,Fragroin
Tarountula,917,Tissenboule
Spidops,918,Filentrappe
Nymble,919,Lilliterelle
Lokix,920,Gambex
Pawmi,921,Pohm
Pawmo,922,Pohmotte
Pawmot,923,Pohmarmotte
Tandemaus,924,Compagnol
Maushold,925,Famignol
Fidough,926,Pâtachiot
Dachsbun,927,Briochien
Smoliv,928,Olivini
Dolliv,929,Olivado
Arboliva,930,Arboliva
Squawkabilly,931,Tapatoès
Nacli,932,Selutin
Naclstack,933,Amassel
Garganacl,934,Gigansel
Charcadet,935,Charbambin
Armarouge,936,Carmadura
Ceruledge,937,Malvalame
Tadbulb,938,Têtampoule
Bellibolt,939,Ampibidou
Wattrel,940,Zapétrel
Kilowattrel,941,Fulgulairo
Maschiff,942,Grondogue
Mabosstiff,943,Dogrino
Shroodle,944,Gribouraigne
Grafaiai,945,Tag-Tag
Bramblin,946,Virovent
Brambleghast,947,Virevorreur
Toedscool,948,Terracool
Toedscruel,949,Terracruel
Klawf,950,Craparoi
Capsakid,951,Pimito
Scovillain,952,Scovilain
Rellor,953,Léboulérou
Rabsca,954,Bérasca
Flittle,955,Flotillon
Espathra,956,Cléopsytra
Tinkatink,957,Forgerette
Tinkatuff,958,Forgella
Tinkaton,959,Forgelina
Wiglett,960,Taupikeau
Wugtrio,961,Triopikeau
Bombirdier,962,Lestombaile
Finizen,963,Dofin
Palafin,964,Superdofin
Varoom,965,Vrombi
Revavroom,966,Vrombotor
Cyclizar,967,Motorizard
Orthworm,968,Ferdeter
Glimmet,969,Germéclat
Glimmora,970,Floréclat
Greavard,971,Toutombe
Houndstone,972,Tomberro
Flamigo,973,Flamenroule
Cetoddle,974,Piétacé
Cetitan,975,Balbalèze
Veluza,976,Délestin
Dondozo,977,Oyacata
Tatsugiri,978,Nigirigon
Annihilape,979,Courrousinge
Clodsire,980,Terraiste
Farigiraf,981,Farigiraf
Dudunsparce,982,Deusolourdo
Kingambit,983,Scalpereur
"Great Tusk",984,Fort-Ivoire
"Scream Tail",985,Hurle-Queue
"Brute Bonnet",986,Fongus-Furie
"Flutter Mane",987,Flotte-Mèche
"Slither Wing",988,Rampe-Ailes
"Sandy Shocks",989,Pelage-Sablé
"Iron Treads",990,Roue-de-Fer
"Iron Bundle",991,Hotte-de-Fer
"Iron Hands",992,Paume-de-Fer
"Iron Jugulis",993,Têtes-de-Fer
"Iron Moth",994,Mite-de-Fer
