1379	EX Holon Phantoms	May 2, 2006
1378	EX Legend Maker	Feb 12, 2006
1429	EX Delta Species	Oct 30, 2005
1398	EX Unseen Forces	Aug 21, 2005
1410	EX Emerald	May 8, 2005
1404	EX Deoxys	Feb 13, 2005
1428	EX Team Rocket Returns	Nov 16, 2004
1419	EX FireRed & LeafGreen	Sep 8, 2004
1416	EX Hidden Legends	Jun 23, 2004
1377	EX Team Magma vs Team Aqua	Mar 14, 2004
1376	EX Dragon	Sep 17, 2003
1392	EX Sandstorm	Sep 17, 2003
1393	EX Ruby & Sapphire	Jun 30, 2003
1372	Skyridge	May 11, 2003
1397	Aquapolis	Jan 14, 2003
1375	Expedition	Sep 14, 2002
1374	Legendary Collection	May 23, 2002
1444	Neo Destiny	Feb 27, 2002
1389	Neo Revelation	Sep 20, 2001
648	Southern Islands	Jul 30, 2001
1434	Neo Discovery	May 31, 2001
1396	Neo Genesis	Dec 15, 2000
1440	Gym Challenge	Oct 15, 2000
1441	Gym Heroes	Aug 13, 2000
1373	Team Rocket	Apr 23, 2000
605	Base Set 2	Feb 23, 2000
630	Fossil	Oct 9, 1999
635	Jungle	Jun 15, 1999
604	Base Set (Unlimited)	Jan 8, 1999
1663	Base Set (1st Edition & Shadowless)	Jan 8, 1999
1418	WoTC Promo	Jun 30, 1999
