group_id,name_en,name_fr,source
2480,"Hidden Fates","Destinées Occultes",pokepedia
2594,"Hidden Fates: Shiny Vault","Destinées Occultes : Chambre Chromatique",derived
2555,"McDonald's Promos 2019","Promos McDonald's 2019",derived
2534,"SM - Cosmic Eclipse","Éclipse Cosmique",pokepedia
2545,"SWSH: Sword & Shield Promo Cards","Cartes promo Épée et Bouclier",derived
2585,"SWSH01: Sword & Shield Base Set","Set de Base Épée et Bouclier",derived
2626,"SWSH02: Rebel Clash","Clash des Rebelles",pokepedia
2686,"Battle Academy","Académie de Combat",derived
2675,"SWSH03: Darkness Ablaze","Ténèbres Embrasées",pokepedia
2685,"Champion's Path","La Voie du Maître",pokepedia
2701,"SWSH04: Vivid Voltage","Voltage Éclatant",pokepedia
2782,"McDonald's 25th Anniversary Promos","Promos McDonald's 25e anniversaire",derived
2754,"Shining Fates","Destinées Radieuses",pokepedia
2781,"Shining Fates: Shiny Vault","Destinées Radieuses : Chambre Chromatique",derived
2765,"SWSH05: Battle Styles","Styles de Combat",pokepedia
2807,"SWSH06: Chilling Reign","Règne de Glace",pokepedia
2848,"SWSH07: Evolving Skies","Évolution Céleste",pokepedia
2867,Celebrations,Célébrations,pokepedia
2931,"Celebrations: Classic Collection","Célébrations : Collection Classique",derived
2906,"SWSH08: Fusion Strike","Poing de Fusion",pokepedia
2948,"SWSH09: Brilliant Stars","Stars Étincelantes",pokepedia
3020,"SWSH09: Brilliant Stars Trainer Gallery","Stars Étincelantes – Galerie des Dresseurs",derived
3051,"Battle Academy 2022","Académie de Combat 2022",derived
3040,"SWSH10: Astral Radiance","Astres Radieux",pokepedia
3068,"SWSH10: Astral Radiance Trainer Gallery","Astres Radieux – Galerie des Dresseurs",derived
3064,"Pokemon GO","Pokémon GO",pokepedia
3150,"McDonald's Promos 2022","Promos McDonald's 2022",derived
3179,"Trick or Trade BOOster Bundle","Lot de boosters Trick or Trade",derived
3118,"SWSH11: Lost Origin","Origine Perdue",pokepedia
3172,"SWSH11: Lost Origin Trainer Gallery","Origine Perdue – Galerie des Dresseurs",derived
3170,"SWSH12: Silver Tempest","Tempête Argentée",pokepedia
17674,"SWSH12: Silver Tempest Trainer Gallery","Tempête Argentée – Galerie des Dresseurs",derived
22880,"Prize Pack Series Cards","Cartes des Packs de Récompense",derived
17688,"SWSH: Crown Zenith","Zénith Suprême",pokepedia
17689,"SWSH: Crown Zenith: Galarian Gallery","Zénith Suprême : Galerie de Galar",derived
22872,"SV: Scarlet & Violet Promo Cards","Cartes promo Écarlate et Violet",derived
22873,"SV01: Scarlet & Violet Base Set","Set de Base Écarlate et Violet",derived
24382,"SVE: Scarlet & Violet Energies","Énergies Écarlate et Violet",derived
23120,"SV02: Paldea Evolved","Évolutions à Paldea",pokepedia
23228,"SV03: Obsidian Flames","Flammes Obsidiennes",pokepedia
23266,"Trick or Trade BOOster Bundle 2023","Lot de boosters Trick or Trade 2023",derived
23306,"McDonald's Promos 2023","Promos McDonald's 2023",derived
23237,"SV: Scarlet & Violet 151",151,bulbapedia
23330,"My First Battle","Mon premier combat",pokepedia
23286,"SV04: Paradox Rift","Faille Paradoxe",pokepedia
23323,"Trading Card Game Classic","Jeu de Cartes à Collectionner Classic",derived
23353,"SV: Paldean Fates","Destinées de Paldea",pokepedia
23381,"SV05: Temporal Forces","Forces Temporelles",pokepedia
23473,"SV06: Twilight Masquerade","Mascarade Crépusculaire",pokepedia
23520,"Battle Academy 2024","Académie de Combat 2024",derived
23529,"SV: Shrouded Fable","Fable Nébuleuse",pokepedia
23561,"Trick or Trade BOOster Bundle 2024","Lot de boosters Trick or Trade 2024",derived
23537,"SV07: Stellar Crown","Couronne Stellaire",pokepedia
23651,"SV08: Surging Sparks","Étincelles Déferlantes",pokepedia
23821,"SV: Prismatic Evolutions","Évolutions Prismatiques",pokepedia
24163,"McDonald's Promos 2024","Promos McDonald's 2024",derived
24073,"SV09: Journey Together","Aventures Ensemble",pokepedia
24269,"SV10: Destined Rivals","Rivalités Destinées",pokepedia
24325,"SV: Black Bolt","Foudre Noire",pokepedia
24326,"SV: White Flare","Flamme Blanche",pokepedia
24451,"ME: Mega Evolution Promo","Promos Méga-Évolution",derived
24380,"ME01: Mega Evolution",Méga-Évolution,pokepedia
24461,"MEE: Mega Evolution Energies","Énergies Méga-Évolution",derived
24448,"ME02: Phantasmal Flames","Flammes Fantasmagoriques",pokepedia
24529,"Player Placement Trainer Promos","Promos Placement des Joueurs",derived
24541,"ME: Ascended Heroes","Héros Transcendants",pokepedia
24587,"ME03: Perfect Order","Équilibre Parfait",pokepedia
24584,"First Partner Collection 2026","Collection Premier Partenaire 2026",derived
24655,"ME04: Chaos Rising","Chaos Ascendant",pokepedia
24688,"ME05: Pitch Black","Nuit Noire",pokepedia
1543,"EX Trainer Kit 1: Latias & Latios","Kit du Dresseur EX 1 : Latias et Latios",derived
1542,"EX Trainer Kit 2: Plusle & Minun","Kit du Dresseur EX 2 : Posipi et Négapi",derived
1423,"Nintendo Promos","Promos Nintendo",derived
1422,"POP Series 1","POP Série 1",override
1447,"POP Series 2","POP Série 2",override
1442,"POP Series 3","POP Série 3",override
1452,"POP Series 4","POP Série 4",override
1439,"POP Series 5","POP Série 5",override
1432,"POP Series 6","POP Série 6",override
1414,"POP Series 7","POP Série 7",override
1450,"POP Series 8","POP Série 8",override
1446,"POP Series 9","POP Série 9",override
1938,"Alternate Art Promos","Promos Illustration Alternative",derived
2289,"Blister Exclusives","Exclusivités Blister",derived
2175,"Burger King Promos","Promos Burger King",derived
2776,"First Partner Pack","Pack Premier Partenaire",derived
2374,"Miscellaneous Cards & Products","Cartes et Produits Divers",derived
2205,"Pikachu World Collection Promos","Promos Collection Mondiale Pikachu",derived
2332,"Professor Program Promos","Promos Programme Professeur",derived
24722,"ME: 30th Celebration","30e Anniversaire",pokepedia
