page,name_fr,name_en,series_fr
"Écarlate et Violet Évolutions Prismatiques","Écarlate et Violet Évolutions Prismatiques","Prismatic Evolutions","Écarlate et Violet"
"Écarlate et Violet Fable Nébuleuse","Écarlate et Violet Fable Nébuleuse","Shrouded Fable","Écarlate et Violet"
"Écarlate et Violet Faille Paradoxe","Écarlate et Violet Faille Paradoxe","Paradox Rift","Écarlate et Violet"
"Écarlate et Violet Flamme Blanche","Écarlate et Violet Flamme Blanche","White Flare","Écarlate et Violet"
"Écarlate et Violet Flammes Obsidiennes","Écarlate et Violet Flammes Obsidiennes","Obsidian Flames","Écarlate et Violet"
"Écarlate et Violet Forces Temporelles","Écarlate et Violet Forces Temporelles","Temporal Forces","Écarlate et Violet"
"Écarlate et Violet Foudre Noire","Écarlate et Violet Foudre Noire","Black Bolt","Écarlate et Violet"
"Écarlate et Violet Mascarade Crépusculaire","Écarlate et Violet Mascarade Crépusculaire","Twilight Masquerade","Écarlate et Violet"
"Écarlate et Violet Rivalités Destinées","Écarlate et Violet Rivalités Destinées","Destined Rivals","Écarlate et Violet"
"Épée et Bouclier (JCC)","Épée et Bouclier","Sword & Shield","Épée et Bouclier"
"Épée et Bouclier Astres Radieux","Épée et Bouclier Astres Radieux","Astral Radiance","Épée et Bouclier"
"Épée et Bouclier Clash des Rebelles","Épée et Bouclier Clash des Rebelles","Rebel Clash","Épée et Bouclier"
"Épée et Bouclier Évolution Céleste","Épée et Bouclier Évolution Céleste","Evolving Skies","Épée et Bouclier"
"Épée et Bouclier Origine Perdue","Épée et Bouclier Origine Perdue","Lost Origin","Épée et Bouclier"
"Épée et Bouclier Poing de Fusion","Épée et Bouclier Poing de Fusion","Fusion Strike","Épée et Bouclier"
"Épée et Bouclier Règne de Glace","Épée et Bouclier Règne de Glace","Chilling Reign","Épée et Bouclier"
"Épée et Bouclier Stars Étincelantes","Épée et Bouclier Stars Étincelantes","Brilliant Stars","Épée et Bouclier"
"Épée et Bouclier Styles de Combat","Épée et Bouclier Styles de Combat","Battle Styles","Épée et Bouclier"
"Épée et Bouclier Tempête Argentée","Épée et Bouclier Tempête Argentée","Silver Tempest","Épée et Bouclier"
"Épée et Bouclier Ténèbres Embrasées","Épée et Bouclier Ténèbres Embrasées","Darkness Ablaze","Épée et Bouclier"
"Épée et Bouclier Voltage Éclatant","Épée et Bouclier Voltage Éclatant","Vivid Voltage","Épée et Bouclier"
"Évolution (TCG)","Évolution (TCG)",,
"EX Créateurs de légendes","EX Créateurs de légendes","EX Legend Maker",EX
"EX Deoxys","EX Deoxys","EX Deoxys",EX
"EX Dragon","EX Dragon","EX Dragon",EX
"EX Émeraude","EX Émeraude","EX Emerald",EX
"EX Espèces Delta","EX Espèces Delta","EX Delta Species",EX
"EX Fantômes Holon","EX Fantômes Holon","EX Holon Phantoms",EX
"EX Forces Cachées","EX Forces Cachées","EX Unseen Forces",EX
"EX Gardiens de Cristal","EX Gardiens de Cristal","EX Crystal Guardians",EX
"EX Gardiens du Pouvoir","EX Gardiens du Pouvoir","EX Power Keepers",EX
"EX Île des Dragons","EX Île des Dragons","EX Dragon Frontiers",EX
"EX Kit Dresseur","EX Kit Dresseur","EX Trainer Kit",EX
"EX Kit Dresseur 2","EX Kit Dresseur 2","EX Trainer Kit 2",EX
"EX Légendes Oubliées","EX Légendes Oubliées","EX Hidden Legends",EX
"EX Rouge Feu & Vert Feuille","EX Rouge Feu & Vert Feuille","EX FireRed & LeafGreen",EX
"EX Rubis & Saphir","EX Rubis & Saphir","EX Ruby & Sapphire",EX
"EX Team Magma VS Team Aqua","EX Team Magma VS Team Aqua","EX Team Magma vs Team Aqua",EX
"EX Team Rocket Returns","EX Team Rocket Returns","EX Team Rocket Returns",EX
"EX Tempête de sable","EX Tempête de sable","EX Sandstorm",EX
Expedition,Expedition,"Expedition Base Set",Wizards
"Fossile (JCC)",Fossile,Fossil,Wizards
"Générations (JCC)",Générations,Generations,XY
"Gym Challenge","Gym Challenge","Gym Challenge",Wizards
"Gym Heroes","Gym Heroes",,Wizards
"HeartGold & SoulSilver (JCC)","HeartGold & SoulSilver","HeartGold & SoulSilver","HeartGold & SoulSilver"
"HS Déchaînement","HS Déchaînement","HS Unleashed","HeartGold & SoulSilver"
"HS Indomptable","HS Indomptable","HS Undaunted","HeartGold & SoulSilver"
"HS Kit du Dresseur","HS Kit du Dresseur","HS Trainer Kit","HeartGold & SoulSilver"
"HS Triomphe","HS Triomphe","HS Triumphant","HeartGold & SoulSilver"
"Île des Fossiles (TCG2)","Île des Fossiles (TCG2)",,
"Jungle (JCC)",Jungle,Jungle,Wizards
"L'Appel des Légendes","L'Appel des Légendes","Call of Legends","HeartGold & SoulSilver"
"La Voie du Maître","La Voie du Maître","Champion's Path","Épée et Bouclier"
"Laboratoire (TCG)","Laboratoire (TCG)",,
"Legendary Collection","Legendary Collection","Legendary Collection",Wizards
"Légendes Brillantes","Légendes Brillantes","Shining Legends","Soleil et Lune"
"Majesté des Dragons","Majesté des Dragons","Dragon Majesty","Soleil et Lune"
"Méga-Évolution (JCC)",Méga-Évolution,"Mega Evolution",Méga-Évolution
"Méga-Évolution Chaos Ascendant","Méga-Évolution Chaos Ascendant","Chaos Rising",Méga-Évolution
"Méga-Évolution Énergie de base","Méga-Évolution Énergie de base","Mega Evolution Basic Energy",Méga-Évolution
"Méga-Évolution Équilibre Parfait","Méga-Évolution Équilibre Parfait","Perfect Order",Méga-Évolution
"Méga-Évolution Flammes Fantasmagoriques","Méga-Évolution Flammes Fantasmagoriques","Phantasmal Flames",Méga-Évolution
"Méga-Évolution Héros Transcendants","Méga-Évolution Héros Transcendants","Ascended Heroes",Méga-Évolution
"Méga-Évolution Nuit Noire","Méga-Évolution Nuit Noire","Pitch Black",Méga-Évolution
"Méga-Évolution Règne Delta","Méga-Évolution Règne Delta","Delta Reign",Méga-Évolution
"Mon premier combat","Mon premier combat","My First Battle","Écarlate et Violet"
"Mystère (TCG)","Mystère (TCG)",,
"Neo Destiny","Neo Destiny","Neo Destiny",Wizards
"Neo Discovery","Neo Discovery","Neo Discovery",Wizards
"Neo Genesis","Neo Genesis","Neo Genesis",Wizards
"Neo Revelation","Neo Revelation","Neo Revelation",Wizards
"Noir & Blanc (JCC)","Noir & Blanc","Black & White","Noir & Blanc"
"Noir & Blanc Destinées Futures","Noir & Blanc Destinées Futures","Black & White Next Destinies","Noir & Blanc"
"Noir & Blanc Dragons Exaltés","Noir & Blanc Dragons Exaltés","Black & White Dragons Exalted","Noir & Blanc"
"Noir & Blanc Explorateurs Obscurs","Noir & Blanc Explorateurs Obscurs","Black & White Dark Explorers","Noir & Blanc"
"Noir & Blanc Explosion Plasma","Noir & Blanc Explosion Plasma","Black & White Plasma Blast","Noir & Blanc"
"Noir & Blanc Frontières Franchies","Noir & Blanc Frontières Franchies","Black & White Boundaries Crossed","Noir & Blanc"
"Noir & Blanc Glaciation Plasma","Noir & Blanc Glaciation Plasma","Black & White Plasma Freeze","Noir & Blanc"
"Noir & Blanc Kit du Dresseur","Noir & Blanc Kit du Dresseur","Black & White Trainer Kit","Noir & Blanc"
"Noir & Blanc Nobles Victoires","Noir & Blanc Nobles Victoires","Black & White Noble Victories","Noir & Blanc"
"Noir & Blanc Pouvoirs Émergents","Noir & Blanc Pouvoirs Émergents","Black & White Emerging Powers","Noir & Blanc"
"Noir & Blanc Tempête Plasma","Noir & Blanc Tempête Plasma","Black & White Plasma Storm","Noir & Blanc"
"Noir & Blanc Trésors Légendaires","Noir & Blanc Trésors Légendaires","Black & White Legendary Treasures","Noir & Blanc"
"Nous sommes la Team Rocket (TCG2)","Nous sommes la Team Rocket (TCG2)",,
"P25 : la musique (JCC)","P25 : la musique","P25 Music","Épée et Bouclier"
"Platine (JCC)",Platine,Platinum,Platine
"Platine Rivaux Émergeants","Platine Rivaux Émergeants","Platinum: Rising Rivals",Platine
"Platine Vainqueurs Suprêmes","Platine Vainqueurs Suprêmes","Platinum: Supreme Victors",Platine
"Platinum Arceus","Platinum Arceus","Platinum Arceus",Platine
"Poké Card Creator Pack","Poké Card Creator Pack","Poké Card Creator Pack",EX
"Pokémon Futsal (JCC)","Pokémon Futsal","Pokémon Futsal","Épée et Bouclier"
"Pokémon GO (JCC)","Pokémon GO","Pokémon GO","Épée et Bouclier"
"Pokémon Rumble (JCC)","Pokémon Rumble","Pokémon Rumble",Platine
"Pokémon Trading Card Game Classic","Pokémon Trading Card Game Classic",,"Écarlate et Violet"
"Pokémon Volant (TCG2)","Pokémon Volant (TCG2)",,
"POP Série 1","POP Série 1","POP Series 1",EX
"POP Série 2","POP Série 2","POP Series 2",EX
"POP Série 3","POP Série 3","POP Series 3",EX
"POP Série 4","POP Série 4","POP Series 4",EX
"POP Série 9","POP Série 9","POP Series 9","Diamant & Perle"
"POP Series 5","POP Series 5","POP Series 5",EX
"POP Series 6","POP Series 6","POP Series 6","Diamant & Perle"
"POP Series 7","POP Series 7","POP Series 7","Diamant & Perle"
"POP Series 8","POP Series 8","POP Series 8","Diamant & Perle"
"Pouvoir Légendaire (TCG2)","Pouvoir Légendaire (TCG2)",,
"Premiers Pokémon (TCG2)","Premiers Pokémon (TCG2)",,
"Promo (TCG)","Promo (TCG)",,
"Promo BW","Promo BW","BW Black Star Promos","Noir & Blanc"
"Promo DP","Promo DP","DP Black Star Promos","Diamant & Perle"
"Promo Étoile Rouge","Promo Étoile Rouge","Red Star Promos",XY
"Promo HGSS","Promo HGSS","HGSS Black Star Promos","HeartGold & SoulSilver"
"Promo ME","Promo ME","ME Black Star Promos",Méga-Évolution
"Promo Nintendo","Promo Nintendo","Nintendo Black Star Promos",EX
"Promo SM","Promo SM","SM Black Star Promos","Soleil et Lune"
"Promo SV","Promo SV","SV Black Star Promos","Écarlate et Violet"
"Promo SWSH","Promo SWSH","SWSH Black Star Promos","Épée et Bouclier"
"Promo TPCi","Promo TPCi","TPCi Black Star Promo","Soleil et Lune"
"Promo Wizards","Promo Wizards","Promo Wizards",Wizards
"Promo XY","Promo XY","XY Black Star Promos",XY
"Sample Set","Sample Set","Sample Set",Wizards
"Set de Base","Set de Base","Base Set",Wizards
Skyridge,Skyridge,Skyridge,Wizards
"Soleil et Lune (JCC)","Soleil et Lune","Sun & Moon","Soleil et Lune"
"Soleil et Lune Alliance Infaillible","Soleil et Lune Alliance Infaillible","Unbroken Bonds","Soleil et Lune"
"Soleil et Lune Duo de Choc","Soleil et Lune Duo de Choc","Team Up","Soleil et Lune"
"Soleil et Lune Éclipse Cosmique","Soleil et Lune Éclipse Cosmique","Cosmic Eclipse","Soleil et Lune"
"Soleil et Lune Gardiens Ascendants","Soleil et Lune Gardiens Ascendants","Guardians Rising","Soleil et Lune"
"Soleil et Lune Harmonie des Esprits","Soleil et Lune Harmonie des Esprits","Unified Minds","Soleil et Lune"
"Soleil et Lune Invasion Carmin","Soleil et Lune Invasion Carmin","Crimson Invasion","Soleil et Lune"
"Soleil et Lune Kit du Dresseur: Lougaroc et Raichu d'Alola","Soleil et Lune Kit du Dresseur: Lougaroc et Raichu d'Alola","Sun & Moon Trainer Kit: Lycanroc & Alolan Raichu","Soleil et Lune"
"Soleil et Lune Kit du Dresseur: Sablaireau d'Alola et Feunard d'Alola","Soleil et Lune Kit du Dresseur: Sablaireau d'Alola et Feunard d'Alola","Sun & Moon Trainer Kit: Alolan Sandslash & Alolan Ninetales","Soleil et Lune"
"Soleil et Lune Lumière Interdite","Soleil et Lune Lumière Interdite","Forbidden Light","Soleil et Lune"
"Soleil et Lune Ombres Ardentes","Soleil et Lune Ombres Ardentes","Burning Shadows","Soleil et Lune"
"Soleil et Lune Tempête Céleste","Soleil et Lune Tempête Céleste","Celestial Storm","Soleil et Lune"
"Soleil et Lune Tonnerre Perdu","Soleil et Lune Tonnerre Perdu","Lost Thunder","Soleil et Lune"
"Soleil et Lune Ultra-Prisme","Soleil et Lune Ultra-Prisme","Ultra Prism","Soleil et Lune"
"Southern Islands","Southern Islands","Southern Islands",Wizards
"Team Rocket (JCC)","Team Rocket","Team Rocket",Wizards
"World Collection","World Collection",,"HeartGold & SoulSilver"
"XY (JCC)",XY,XY,XY
"XY Bienvenue à Kalos","XY Bienvenue à Kalos","Kalos Starter Set",XY
"XY Ciel Rugissant","XY Ciel Rugissant","XY Roaring Skies",XY
"XY Étincelles","XY Étincelles","XY Flashfire",XY
"XY Évolutions","XY Évolutions","XY Evolutions",XY
"XY Impact des Destins","XY Impact des Destins","XY Fates Collide",XY
"XY Impulsion TURBO","XY Impulsion TURBO","XY BREAKthrough",XY
"XY Kit du Dresseur","XY Kit du Dresseur","XY Trainer Kit",XY
"XY Kit du Dresseur: Pikachu Catcheur et Suicune","XY Kit du Dresseur: Pikachu Catcheur et Suicune","XY Trainer Kit: Pikachu Libre & Suicune",XY
"XY Kit du Dresseur: Scalproie et Grodoudou","XY Kit du Dresseur: Scalproie et Grodoudou","XY Trainer Kit: Bisharp & Wigglytuff",XY
"XY Offensive Vapeur","XY Offensive Vapeur","XY Steam Siege",XY
"XY Origines Antiques","XY Origines Antiques","XY Ancient Origins",XY
"XY Poings Furieux","XY Poings Furieux","XY Furious Fists",XY
"XY Primo-Choc","XY Primo-Choc","XY Primal Clash",XY
"XY Rupture TURBO","XY Rupture TURBO","XY BREAKpoint",XY
"XY Vigueur Spectrale","XY Vigueur Spectrale","XY Phantom Forces",XY
"Zénith Suprême","Zénith Suprême","Crown Zenith","Épée et Bouclier"
"Catégorie:Extension japonaise","Catégorie:Extension japonaise",,
"Catégorie:Extension japonaise du JCC","Catégorie:Extension japonaise du JCC",,
"Catégorie:Extension promotionnelle","Catégorie:Extension promotionnelle",,
"Catégorie:30e Anniversaire","Catégorie:30e Anniversaire",,
"Catégorie:ADV-P Promotional","Catégorie:ADV-P Promotional",,
Catégorie:Aquapolis,Catégorie:Aquapolis,,
"Catégorie:Aura's Lucario Movie Pack","Catégorie:Aura's Lucario Movie Pack",,
"Catégorie:Base Set 2","Catégorie:Base Set 2",,
"Catégorie:Best of Game","Catégorie:Best of Game",,
"Catégorie:Box Topper","Catégorie:Box Topper",,
Catégorie:Célébrations,Catégorie:Célébrations,,
"Catégorie:Coffre des Dragons","Catégorie:Coffre des Dragons",,
"Catégorie:Collection McDonald's 2011","Catégorie:Collection McDonald's 2011",,
"Catégorie:Collection McDonald's 2012","Catégorie:Collection McDonald's 2012",,
"Catégorie:Collection McDonald's 2013","Catégorie:Collection McDonald's 2013",,
"Catégorie:Collection McDonald's 2014","Catégorie:Collection McDonald's 2014",,
"Catégorie:Collection McDonald's 2015","Catégorie:Collection McDonald's 2015",,
"Catégorie:Collection McDonald's 2016","Catégorie:Collection McDonald's 2016",,
"Catégorie:Collection McDonald's 2017","Catégorie:Collection McDonald's 2017",,
"Catégorie:Collection McDonald's 2018 (France)","Catégorie:Collection McDonald's 2018 (France)",,
"Catégorie:Collection McDonald's 2018 (International)","Catégorie:Collection McDonald's 2018 (International)",,
"Catégorie:Collection McDonald's 2019 (France)","Catégorie:Collection McDonald's 2019 (France)",,
"Catégorie:Collection McDonald's 2019 (International)","Catégorie:Collection McDonald's 2019 (International)",,
"Catégorie:Collection McDonald's 2021","Catégorie:Collection McDonald's 2021",,
"Catégorie:Collection McDonald's 2024","Catégorie:Collection McDonald's 2024",,
"Catégorie:Combat Express (2022)","Catégorie:Combat Express (2022)",,
"Catégorie:Combat Express (2023)","Catégorie:Combat Express (2023)",,
"Catégorie:Deoxys Movie Pack","Catégorie:Deoxys Movie Pack",,
"Catégorie:Destinées Occultes","Catégorie:Destinées Occultes",,
"Catégorie:Destinées Radieuses","Catégorie:Destinées Radieuses",,
"Catégorie:Détective Pikachu (JCC)","Catégorie:Détective Pikachu (JCC)",,
"Catégorie:Diamant & Perle","Catégorie:Diamant & Perle",,
"Catégorie:Diamant & Perle Aube Majestueuse","Catégorie:Diamant & Perle Aube Majestueuse",,
"Catégorie:Diamant & Perle Duels au sommet","Catégorie:Diamant & Perle Duels au sommet",,
"Catégorie:Diamant & Perle Éveil des Légendes","Catégorie:Diamant & Perle Éveil des Légendes",,
"Catégorie:Diamant & Perle Kit Dresseur","Catégorie:Diamant & Perle Kit Dresseur",,
"Catégorie:Diamant & Perle Merveilles Secrètes","Catégorie:Diamant & Perle Merveilles Secrètes",,
"Catégorie:Diamant & Perle Tempête","Catégorie:Diamant & Perle Tempête",,
"Catégorie:Diamant & Perle Trésors Mystérieux","Catégorie:Diamant & Perle Trésors Mystérieux",,
"Catégorie:Double Danger","Catégorie:Double Danger",,
"Catégorie:Écarlate et Violet","Catégorie:Écarlate et Violet",,
"Catégorie:Écarlate et Violet 151","Catégorie:Écarlate et Violet 151",,
"Catégorie:Écarlate et Violet Aventures Ensemble","Catégorie:Écarlate et Violet Aventures Ensemble",,
"Catégorie:Écarlate et Violet Couronne Stellaire","Catégorie:Écarlate et Violet Couronne Stellaire",,
"Catégorie:Écarlate et Violet Destinées de Paldea","Catégorie:Écarlate et Violet Destinées de Paldea",,
"Catégorie:Écarlate et Violet Énergie de base","Catégorie:Écarlate et Violet Énergie de base",,
"Catégorie:Écarlate et Violet Étincelles Déferlantes","Catégorie:Écarlate et Violet Étincelles Déferlantes",,
"Catégorie:Écarlate et Violet Évolutions à Paldea","Catégorie:Écarlate et Violet Évolutions à Paldea",,
"Catégorie:Écarlate et Violet Évolutions Prismatiques","Catégorie:Écarlate et Violet Évolutions Prismatiques",,
"Catégorie:Écarlate et Violet Fable Nébuleuse","Catégorie:Écarlate et Violet Fable Nébuleuse",,
"Catégorie:Écarlate et Violet Faille Paradoxe","Catégorie:Écarlate et Violet Faille Paradoxe",,
"Catégorie:Écarlate et Violet Flamme Blanche","Catégorie:Écarlate et Violet Flamme Blanche",,
"Catégorie:Écarlate et Violet Flammes Obsidiennes","Catégorie:Écarlate et Violet Flammes Obsidiennes",,
"Catégorie:Écarlate et Violet Forces Temporelles","Catégorie:Écarlate et Violet Forces Temporelles",,
"Catégorie:Écarlate et Violet Foudre Noire","Catégorie:Écarlate et Violet Foudre Noire",,
"Catégorie:Écarlate et Violet Foudre Noire et Flamme Blanche","Catégorie:Écarlate et Violet Foudre Noire et Flamme Blanche",,
"Catégorie:Écarlate et Violet Mascarade Crépusculaire","Catégorie:Écarlate et Violet Mascarade Crépusculaire",,
"Catégorie:Écarlate et Violet Rivalités Destinées","Catégorie:Écarlate et Violet Rivalités Destinées",,
"Catégorie:Épée et Bouclier","Catégorie:Épée et Bouclier",,
"Catégorie:Épée et Bouclier Astres Radieux","Catégorie:Épée et Bouclier Astres Radieux",,
"Catégorie:Épée et Bouclier Clash des Rebelles","Catégorie:Épée et Bouclier Clash des Rebelles",,
"Catégorie:Épée et Bouclier Évolution Céleste","Catégorie:Épée et Bouclier Évolution Céleste",,
"Catégorie:Épée et Bouclier Origine Perdue","Catégorie:Épée et Bouclier Origine Perdue",,
"Catégorie:Épée et Bouclier Poing de Fusion","Catégorie:Épée et Bouclier Poing de Fusion",,
"Catégorie:Épée et Bouclier Règne de Glace","Catégorie:Épée et Bouclier Règne de Glace",,
"Catégorie:Épée et Bouclier Stars Étincelantes","Catégorie:Épée et Bouclier Stars Étincelantes",,
"Catégorie:Épée et Bouclier Styles de Combat","Catégorie:Épée et Bouclier Styles de Combat",,
"Catégorie:Épée et Bouclier Tempête Argentée","Catégorie:Épée et Bouclier Tempête Argentée",,
"Catégorie:Épée et Bouclier Ténèbres Embrasées","Catégorie:Épée et Bouclier Ténèbres Embrasées",,
"Catégorie:Épée et Bouclier Voltage Éclatant","Catégorie:Épée et Bouclier Voltage Éclatant",,
"Catégorie:EX Créateurs de légendes","Catégorie:EX Créateurs de légendes",,
"Catégorie:EX Deoxys","Catégorie:EX Deoxys",,
"Catégorie:EX Dragon","Catégorie:EX Dragon",,
"Catégorie:EX Émeraude","Catégorie:EX Émeraude",,
"Catégorie:EX Espèces Delta","Catégorie:EX Espèces Delta",,
"Catégorie:EX Fantômes Holon","Catégorie:EX Fantômes Holon",,
"Catégorie:EX Forces Cachées","Catégorie:EX Forces Cachées",,
"Catégorie:EX Gardiens de Cristal","Catégorie:EX Gardiens de Cristal",,
"Catégorie:EX Gardiens du Pouvoir","Catégorie:EX Gardiens du Pouvoir",,
"Catégorie:EX Île des Dragons","Catégorie:EX Île des Dragons",,
"Catégorie:EX Kit Dresseur","Catégorie:EX Kit Dresseur",,
"Catégorie:EX Kit Dresseur 2","Catégorie:EX Kit Dresseur 2",,
"Catégorie:EX Légendes Oubliées","Catégorie:EX Légendes Oubliées",,
"Catégorie:EX Rouge Feu & Vert Feuille","Catégorie:EX Rouge Feu & Vert Feuille",,
"Catégorie:EX Rubis & Saphir","Catégorie:EX Rubis & Saphir",,
"Catégorie:EX Team Magma VS Team Aqua","Catégorie:EX Team Magma VS Team Aqua",,
"Catégorie:EX Team Rocket Returns","Catégorie:EX Team Rocket Returns",,
"Catégorie:EX Tempête de sable","Catégorie:EX Tempête de sable",,
Catégorie:Expedition,Catégorie:Expedition,,
Catégorie:Fossile,Catégorie:Fossile,,
Catégorie:Générations,Catégorie:Générations,,
"Catégorie:Gym Challenge","Catégorie:Gym Challenge",,
"Catégorie:Gym Heroes","Catégorie:Gym Heroes",,
"Catégorie:HeartGold & SoulSilver","Catégorie:HeartGold & SoulSilver",,
"Catégorie:HS Déchaînement","Catégorie:HS Déchaînement",,
"Catégorie:HS Indomptable","Catégorie:HS Indomptable",,
"Catégorie:HS Kit du Dresseur","Catégorie:HS Kit du Dresseur",,
"Catégorie:HS Triomphe","Catégorie:HS Triomphe",,
"Catégorie:Jirachi Movie Pack","Catégorie:Jirachi Movie Pack",,
Catégorie:Jungle,Catégorie:Jungle,,
"Catégorie:L-P Promotional","Catégorie:L-P Promotional",,
"Catégorie:L'Appel des Légendes","Catégorie:L'Appel des Légendes",,
"Catégorie:La Voie du Maître","Catégorie:La Voie du Maître",,
"Catégorie:Legendary Collection","Catégorie:Legendary Collection",,
"Catégorie:Légendes Brillantes","Catégorie:Légendes Brillantes",,
"Catégorie:Majesté des Dragons","Catégorie:Majesté des Dragons",,
"Catégorie:Méga-Évolution (JCC)","Catégorie:Méga-Évolution (JCC)",,
"Catégorie:Méga-Évolution Chaos Ascendant","Catégorie:Méga-Évolution Chaos Ascendant",,
"Catégorie:Méga-Évolution Énergie de base","Catégorie:Méga-Évolution Énergie de base",,
"Catégorie:Méga-Évolution Équilibre Parfait","Catégorie:Méga-Évolution Équilibre Parfait",,
"Catégorie:Méga-Évolution Flammes Fantasmagoriques","Catégorie:Méga-Évolution Flammes Fantasmagoriques",,
"Catégorie:Méga-Évolution Héros Transcendants","Catégorie:Méga-Évolution Héros Transcendants",,
"Catégorie:Méga-Évolution Nuit Noire","Catégorie:Méga-Évolution Nuit Noire",,
"Catégorie:Méga-Évolution Règne Delta","Catégorie:Méga-Évolution Règne Delta",,
"Catégorie:Mon premier combat","Catégorie:Mon premier combat",,
"Catégorie:Movie Random Pack","Catégorie:Movie Random Pack",,
"Catégorie:Neo Destiny","Catégorie:Neo Destiny",,
"Catégorie:Neo Discovery","Catégorie:Neo Discovery",,
"Catégorie:Neo Genesis","Catégorie:Neo Genesis",,
"Catégorie:Neo Revelation","Catégorie:Neo Revelation",,
"Catégorie:Noir & Blanc","Catégorie:Noir & Blanc",,
"Catégorie:Noir & Blanc Destinées Futures","Catégorie:Noir & Blanc Destinées Futures",,
"Catégorie:Noir & Blanc Dragons Exaltés","Catégorie:Noir & Blanc Dragons Exaltés",,
