group_id,name_en,name_fr
1424,"Emerging Powers","Pouvoirs Émergents"
1538,"BW Trainer Kit: Excadrill & Zoroark",
1385,"Noble Victories","Nobles Victoires"
1412,"Next Destinies","Destinées Futures"
1386,"Dark Explorers","Explorateurs Obscurs"
1427,"McDonald's Promos 2012",
1394,"Dragons Exalted","Dragons Exaltés"
1426,"Dragon Vault","Coffre des Dragons"
1408,"Boundaries Crossed","Frontières Franchies"
1413,"Plasma Storm","Tempête Plasma"
1382,"Plasma Freeze","Glaciation Plasma"
1370,"Plasma Blast","Explosion Plasma"
1409,"Legendary Treasures","Trésors Légendaires"
1465,"Legendary Treasures: Radiant Collection",
1522,"Kalos Starter Set",
1451,"XY Promos",
1387,"XY Base Set",
1532,"XY Trainer Kit: Sylveon & Noivern",
1464,"XY - Flashfire",Étincelles
1692,"McDonald's Promos 2014",
1481,"XY - Furious Fists","Poings Furieux"
1494,"XY - Phantom Forces","Vigueur Spectrale"
1533,"XY Trainer Kit: Bisharp & Wigglytuff",
1509,"XY - Primal Clash",Primo-Choc
1525,"Double Crisis","Double Danger"
1528,"Jumbo Cards",
1536,"XY Trainer Kit: Latias & Latios",
1534,"XY - Roaring Skies","Ciel Rugissant"
1576,"XY - Ancient Origins","Origines Antiques"
1661,"XY - BREAKthrough","Impulsion TURBO"
1694,"McDonald's Promos 2015",
1701,"XY - BREAKpoint","Rupture TURBO"
1728,Generations,Générations
1729,"Generations: Radiant Collection",
1796,"XY Trainer Kit: Pikachu Libre & Suicune","Kit du Dresseur: Pikachu Catcheur et Suicune"
1780,"XY - Fates Collide","Impact des Destins"
1539,"League & Championship Cards",
1815,"XY - Steam Siege","Offensive Vapeur"
3087,"McDonald's Promos 2016",
1840,"Deck Exclusives",
1842,"XY - Evolutions",Évolutions
1861,"SM Promos",
1863,"SM Base Set",
23095,"Ash vs Team Rocket Deck Kit (JP Exclusive)",
2069,"SM Trainer Kit: Lycanroc & Alolan Raichu",
1919,"SM - Guardians Rising","Gardiens Ascendants"
1957,"SM - Burning Shadows","Ombres Ardentes"
2054,"Shining Legends","Légendes Brillantes"
2071,"SM - Crimson Invasion","Invasion Carmin"
2148,"McDonald's Promos 2017",
2178,"SM - Ultra Prism",Ultra-Prisme
2208,"SM Trainer Kit: Alolan Sandslash & Alolan Ninetales",
2209,"SM - Forbidden Light","Lumière Interdite"
2282,"World Championship Decks",
2278,"SM - Celestial Storm","Tempête Céleste"
2295,"Dragon Majesty","Majesté des Dragons"
2328,"SM - Lost Thunder","Tonnerre Perdu"
2364,"McDonald's Promos 2018",
2377,"SM - Team Up","Duo de Choc"
2409,"Detective Pikachu","Détective Pikachu"
2420,"SM - Unbroken Bonds","Alliance Infaillible"
2464,"SM - Unified Minds","Harmonie des Esprits"
2480,"Hidden Fates","Destinées Occultes"
2594,"Hidden Fates: Shiny Vault",
2555,"McDonald's Promos 2019",
2534,"SM - Cosmic Eclipse","Éclipse Cosmique"
2545,"SWSH: Sword & Shield Promo Cards",
2585,"SWSH01: Sword & Shield Base Set",
2626,"SWSH02: Rebel Clash","Clash des Rebelles"
2686,"Battle Academy",
2675,"SWSH03: Darkness Ablaze","Ténèbres Embrasées"
2685,"Champion's Path","La Voie du Maître"
2701,"SWSH04: Vivid Voltage","Voltage Éclatant"
2782,"McDonald's 25th Anniversary Promos",
2754,"Shining Fates","Destinées Radieuses"
2781,"Shining Fates: Shiny Vault",
2765,"SWSH05: Battle Styles","Styles de Combat"
2807,"SWSH06: Chilling Reign","Règne de Glace"
2848,"SWSH07: Evolving Skies","Évolution Céleste"
2867,Celebrations,Célébrations
2931,"Celebrations: Classic Collection",
2906,"SWSH08: Fusion Strike","Poing de Fusion"
2948,"SWSH09: Brilliant Stars","Stars Étincelantes"
3020,"SWSH09: Brilliant Stars Trainer Gallery",
3051,"Battle Academy 2022",
3040,"SWSH10: Astral Radiance","Astres Radieux"
3068,"SWSH10: Astral Radiance Trainer Gallery",
3064,"Pokemon GO",
3150,"McDonald's Promos 2022",
3179,"Trick or Trade BOOster Bundle",
3118,"SWSH11: Lost Origin","Origine Perdue"
3172,"SWSH11: Lost Origin Trainer Gallery",
3170,"SWSH12: Silver Tempest","Tempête Argentée"
17674,"SWSH12: Silver Tempest Trainer Gallery",
22880,"Prize Pack Series Cards",
17688,"SWSH: Crown Zenith","Zénith Suprême"
17689,"SWSH: Crown Zenith: Galarian Gallery",
22872,"SV: Scarlet & Violet Promo Cards",
22873,"SV01: Scarlet & Violet Base Set",
24382,"SVE: Scarlet & Violet Energies",
23120,"SV02: Paldea Evolved","Évolutions à Paldea"
23228,"SV03: Obsidian Flames","Flammes Obsidiennes"
23266,"Trick or Trade BOOster Bundle 2023",
23306,"McDonald's Promos 2023",
23237,"SV: Scarlet & Violet 151",151
23330,"My First Battle","Mon premier combat"
23286,"SV04: Paradox Rift","Faille Paradoxe"
23323,"Trading Card Game Classic",
23353,"SV: Paldean Fates","Destinées de Paldea"
23381,"SV05: Temporal Forces","Forces Temporelles"
23473,"SV06: Twilight Masquerade","Mascarade Crépusculaire"
23520,"Battle Academy 2024",
23529,"SV: Shrouded Fable","Fable Nébuleuse"
23561,"Trick or Trade BOOster Bundle 2024",
23537,"SV07: Stellar Crown","Couronne Stellaire"
23651,"SV08: Surging Sparks","Étincelles Déferlantes"
23821,"SV: Prismatic Evolutions","Évolutions Prismatiques"
24163,"McDonald's Promos 2024",
24073,"SV09: Journey Together",
24269,"SV10: Destined Rivals",
24325,"SV: Black Bolt",
24326,"SV: White Flare",
24451,"ME: Mega Evolution Promo",
24380,"ME01: Mega Evolution",
24461,"MEE: Mega Evolution Energies",
24448,"ME02: Phantasmal Flames",
24529,"Player Placement Trainer Promos",
24541,"ME: Ascended Heroes","Héros Transcendants"
24587,"ME03: Perfect Order",
24584,"First Partner Collection 2026",
24655,"ME04: Chaos Rising",
24688,"ME05: Pitch Black",
1543,"EX Trainer Kit 1: Latias & Latios",
1542,"EX Trainer Kit 2: Plusle & Minun",
1423,"Nintendo Promos",
1422,"POP Series 1",
1447,"POP Series 2",
1442,"POP Series 3",
1452,"POP Series 4",
1439,"POP Series 5",
1432,"POP Series 6",
1414,"POP Series 7",
1450,"POP Series 8",
1446,"POP Series 9",
1938,"Alternate Art Promos",
2289,"Blister Exclusives",
2175,"Burger King Promos",
2776,"First Partner Pack",
2374,"Miscellaneous Cards & Products",
2205,"Pikachu World Collection Promos",
2332,"Professor Program Promos",
24722,"ME: 30th Celebration",
